,stopName,stopDesc,zoneId,zoneName,stopLat,stopLon
658,Dom Fahrenheita,Dom Fahrenheita,1.0,Gdańsk,54.34757,18.65232
659,Długi Targ,Długi Targ,1.0,Gdańsk,54.34874,18.65439
660,Świętego Ducha,Świętego Ducha,1.0,Gdańsk,54.3502,18.65491
661,Żuraw,Żuraw,1.0,Gdańsk,54.35085,18.6571
662,Katarzynki,Katarzynki,1.0,Gdańsk,54.35424,18.65375
663,,Swarzewska I,,,54.53785,18.46341
664,Heweliusza,Heweliusza,1.0,Gdańsk,54.35632,18.65228
665,Miedza,Miedza (N/Ż),1.0,Gdańsk,54.33517,18.66182
666,"Hala ""Olivia""","Hala ""Olivia""",1.0,Gdańsk,54.40143,18.57414
667,Turystyczna,Turystyczna (N/Ż),1.0,Gdańsk,54.3426,18.85214
668,Sąsiedzka,Sąsiedzka (N/Ż),1.0,Gdańsk,54.36942,18.50325
669,,Swarzewska II,,,54.53603,18.46077
670,Wołkowyska,Wołkowyska,1.0,Gdańsk,54.35079,18.56989
671,Zacna,Zacna,1.0,Gdańsk,54.35063,18.56318
672,,Bitwy pod Płowcami,,,54.43779,18.57383
673,Staw Wróbla,Staw Wróbla ,1.0,Gdańsk,54.35022,18.55494
674,Czermińskiego,Czermińskiego,1.0,Gdańsk,54.32241,18.55242
675,Szmaragdowa,Szmaragdowa,1.0,Gdańsk,54.31462,18.60027
676,Knyszyńska,Knyszyńska,1.0,Gdańsk,54.31391,18.60327
677,Osiedle Jary,Osiedle Jary,1.0,Gdańsk,54.33583,18.60057
678,Rogalińska,Rogalińska,1.0,Gdańsk,54.33107,18.60045
679,Smoluchowskiego,Smoluchowskiego,1.0,Gdańsk,54.36711,18.62386
680,Zagony,Zagony (N/Ż),1.0,Gdańsk,54.33634,18.65865
681,Lenartowicza,Lenartowicza,1.0,Gdańsk,54.35799,18.68671
682,Marsa,Marsa,1.0,Gdańsk,54.42012,18.47837
683,Owczarnia,Owczarnia,1.0,Gdańsk,54.41413,18.48023
684,Kontenerowa,Kontenerowa (N/Ż),1.0,Gdańsk,54.38028,18.69508
685,Śluza,Śluza,1.0,Gdańsk,54.34116,18.65822
686,Bora Komorowskiego,Bora Komorowskiego,1.0,Gdańsk,54.40747,18.58886
687,Terminal DCT,Terminal DCT,1.0,Gdańsk,54.38298,18.70617
688,Hokejowa,Hokejowa,1.0,Gdańsk,54.3105,18.58878
689,Telewizyjna,Telewizyjna (N/Ż),1.0,Gdańsk,54.39813,18.48519
690,Zakład Utylizacyjny,Zakład Utylizacyjny,1.0,Gdańsk,54.3229,18.54067
691,Zbieżna,Zbieżna (N/Ż),1.0,Gdańsk,54.36695,18.48793
692,Opera Bałtycka,Opera Bałtycka (N/Ż),1.0,Gdańsk,54.37281,18.62495
693,,Sopot PKP - Marynarzy,,,54.43906,18.5643
694,Centrum Onkologii,Centrum Onkologii (N/Ż),1.0,Gdańsk,54.37013,18.62715
695,Traugutta,Traugutta,1.0,Gdańsk,54.36816,18.62974
696,,Uniwersyteckie Centrum Kliniczne,,,54.36664,18.62674
697,Szpital Zakaźny,Szpital Zakaźny,1.0,Gdańsk,54.3637,18.61618
698,Centrum Medycyny Inwazyjnej,Centrum Medycyny Inwazyjnej,1.0,Gdańsk,54.36627,18.61955
699,Zabytkowa,Zabytkowa,1.0,Gdańsk,54.37978,18.59
700,Cmentarz Srebrzysko,Cmentarz Srebrzysko,1.0,Gdańsk,54.37797,18.58088
701,,Przytulna (N/Ż),,,54.34771,18.53582
702,Przytulna,Przytulna,1.0,Gdańsk,54.34838,18.53332
703,Szczęśliwa,Szczęśliwa,1.0,Gdańsk,54.34907,18.528
704,Porębskiego,Porębskiego,1.0,Gdańsk,54.31765,18.58237
705,Kiełpinek,Kiełpinek (N/Ż),1.0,Gdańsk,54.35492,18.52343
706,Przegalińska - Schronisko,Przegalińska - Schronisko (N/Ż),1.0,Gdańsk,54.3139,18.91137
707,Dulkowa,Dulkowa (N/Ż),1.0,Gdańsk,54.3157,18.90229
708,Komary,Komary (N/Ż),1.0,Gdańsk,54.31571,18.894
709,Sobieszewska Pastwa 2,Sobieszewska Pastwa 2 (N/Ż),1.0,Gdańsk,54.31258,18.87351
710,,Polna,,,54.43436,18.57781
711,Marynarska,Marynarska (N/Ż),1.0,Gdańsk,54.3155,18.86922
