,stopName,stopDesc,zoneId,zoneName,stopLat,stopLon,coord,time_sec,color
352,Bluszczowa,Bluszczowa (N/Ż),1.0,Gdańsk,54.33786,18.66695,"54.33786, 18.66695",3963,black
392,Boguckiego,Boguckiego (N/Ż),1.0,Gdańsk,54.33806,18.90416,"54.33806, 18.90416",4590,black
391,Jaworowa,Jaworowa,1.0,Gdańsk,54.33877,18.55969,"54.33877, 18.55969",3108,red
393,Dobra,Dobra (N/Ż),1.0,Gdańsk,54.34119000000001,18.65524,"54.34119000000001, 18.65524",3180,red
385,Kamienna Grobla,Kamienna Grobla,1.0,Gdańsk,54.34178000000001,18.6556,"54.34178000000001, 18.6556",3243,red
383,Dworkowa,Dworkowa,1.0,Gdańsk,54.34445,18.68132,"54.34445, 18.68132",3611,black
384,Akademia Muzyczna,Akademia Muzyczna,1.0,Gdańsk,54.34463,18.66529,"54.34463, 18.66529",2820,red
396,Na Szańcach,Na Szańcach,1.0,Gdańsk,54.34469,18.6731,"54.34469, 18.6731",3393,red
359,Mostek,Mostek ,1.0,Gdańsk,54.34905,18.67436,"54.34905, 18.67436",3060,red
341,Karczemki Szkoła,Karczemki Szkoła,1.0,Gdańsk,54.3524,18.51104,"54.3524, 18.51104",2823,red
342,Maciejkowa,Maciejkowa,1.0,Gdańsk,54.35385,18.50519,"54.35385, 18.50519",3802,black
343,Św. Brata Alberta,Św. Brata Alberta,1.0,Gdańsk,54.3558,18.50384,"54.3558, 18.50384",3999,black
344,Fundamentowa,Fundamentowa (N/Ż),1.0,Gdańsk,54.35671,18.49411,"54.35671, 18.49411",3870,black
345,Montażystów,Montażystów (N/Ż),1.0,Gdańsk,54.35862,18.49779,"54.35862, 18.49779",4117,black
335,Brama Oliwska,Brama Oliwska (N/Ż),1.0,Gdańsk,54.36241,18.640220000000006,"54.36241, 18.640220000000006",2554,yellow
399,Botaniczna,Botaniczna (N/Ż),1.0,Gdańsk,54.36493000000001,18.45928,"54.36493000000001, 18.45928",4505,black
357,Uniwersytet Medyczny,Uniwersytet Medyczny,1.0,Gdańsk,54.36734000000001,18.63161,"54.36734000000001, 18.63161",2410,yellow
358,Uniwersytet Medyczny,Uniwersytet Medyczny (N/Ż),1.0,Gdańsk,54.36765,18.63291,"54.36765, 18.63291",2594,yellow
379,Stocznia Północna,Stocznia Północna (N/Ż),1.0,Gdańsk,54.37181,18.63377,"54.37181, 18.63377",3120,red
364,Mjr Słabego,Majora Słabego,1.0,Gdańsk,54.37239,18.52229,"54.37239, 18.52229",1506,blue
356,Opera Bałtycka,Opera Bałtycka,1.0,Gdańsk,54.37244000000001,18.62323,"54.37244000000001, 18.62323",1887,yellow
397,Kliniczna,Kliniczna,1.0,Gdańsk,54.37514,18.62651,"54.37514, 18.62651",1610,blue
355,Teatr Miniatura / Radio Gdańsk,Teatr Miniatura / Radio Gdańsk,1.0,Gdańsk,54.37519,18.6176,"54.37519, 18.6176",1807,yellow
363,Wyspiańskiego,Wyspiańskiego (N/Ż),1.0,Gdańsk,54.37638000000001,18.62333,"54.37638000000001, 18.62333",1750,blue
378,Swojska,Swojska (N/Ż),1.0,Gdańsk,54.37945,18.63454,"54.37945, 18.63454",3300,red
381,Mickiewicza,Mickiewicza (N/Ż),1.0,Gdańsk,54.38366,18.62207,"54.38366, 18.62207",2480,yellow
372,Wojska Polskiego,Wojska Polskiego,1.0,Gdańsk,54.38645,18.59185,"54.38645, 18.59185",1417,blue
371,Zamenhofa,Zamenhofa (N/Ż),1.0,Gdańsk,54.38681999999999,18.58486,"54.38681999999999, 18.58486",1433,blue
377,Stadion Energa Gdańsk,Stadion Energa Gdańsk,1.0,Gdańsk,54.38707,18.64885,"54.38707, 18.64885",2520,yellow
373,Wojska Polskiego,Wojska Polskiego (N/Ż),1.0,Gdańsk,54.387130000000006,18.58965,"54.387130000000006, 18.58965",1421,blue
368,Kościuszki,Kościuszki,1.0,Gdańsk,54.38791,18.62123,"54.38791, 18.62123",2266,yellow
366,Legionów,Legionów (N/Ż),1.0,Gdańsk,54.38799,18.61027,"54.38799, 18.61027",1720,blue
360,Kościuszki,Kościuszki (N/Ż),1.0,Gdańsk,54.38829000000001,18.62261,"54.38829000000001, 18.62261",2343,yellow
362,Zajezdnia,Zajezdnia (N/Ż),1.0,Gdańsk,54.38877,18.58099,"54.38877, 18.58099",1181,blue
370,Strzyża PKM,Strzyża PKM (N/Ż),1.0,Gdańsk,54.39085,18.57791,"54.39085, 18.57791",1189,blue
365,Żwirki i Wigury,Żwirki i Wigury (N/Ż),1.0,Gdańsk,54.39212,18.60612,"54.39212, 18.60612",2033,yellow
376,Śnieżna,Śnieżna (N/Ż),1.0,Gdańsk,54.3922,18.657870000000006,"54.3922, 18.657870000000006",3718,black
309,Pilotów,Pilotów,1.0,Gdańsk,54.39232,18.59828,"54.39232, 18.59828",1746,blue
308,Dywizjonu 303,Dywizjonu 303,1.0,Gdańsk,54.39312,18.60011,"54.39312, 18.60011",1860,yellow
380,Drzewieckiego,Drzewieckiego (N/Ż),1.0,Gdańsk,54.39498,18.61318,"54.39498, 18.61318",2530,yellow
307,Rzeczypospolitej,Rzeczypospolitej,1.0,Gdańsk,54.39604,18.60378,"54.39604, 18.60378",1920,yellow
340,Startowa,Startowa,1.0,Gdańsk,54.39703000000001,18.59796,"54.39703000000001, 18.59796",2066,yellow
